job_title,experience_level,company_size,company_location,employment_type,remote_ratio,years_experience,salary_usd
Data Analyst,Senior,Small,Australia,Contract,50,9.0,125275.0
AI Engineer,Senior,Medium,Australia,Part-time,0,,120271.0
Machine Learning Engineer,Mid,Large,Australia,Part-time,100,13.0,
Machine Learning Engineer,Mid,Medium,Canada,Full-time,0,5.0,76553.0
Data Engineer,Mid,Small,UK,Part-time,100,11.0,106573.0
Data Analyst,Mid,Medium,Australia,Contract,50,13.0,124844.0
Data Scientist,Mid,Medium,Australia,Contract,0,10.0,100072.0
Machine Learning Engineer,Entry,Large,USA,Full-time,50,13.0,91017.0
Data Engineer,Mid,Medium,USA,Part-time,0,4.0,78228.0
Business Intelligence Analyst,Executive,Large,USA,Contract,100,14.0,206455.0
Data Engineer,Entry,Large,India,Full-time,50,7.0,52386.0
Machine Learning Engineer,Entry,Small,Australia,Full-time,0,2.0,26862.0
Machine Learning Engineer,Mid,Large,India,Contract,100,11.0,102340.0
Data Engineer,Senior,Large,UK,Contract,50,12.0,149487.0
Data Scientist,Mid,Small,Canada,Part-time,0,12.0,115061.0
AI Engineer,Mid,Large,Australia,Full-time,50,6.0,77635.0
Machine Learning Engineer,Entry,Small,Canada,Contract,0,1.0,29604.0
Data Engineer,Mid,Medium,USA,Full-time,100,2.0,67427.0
Data Engineer,Mid,Small,Australia,Part-time,100,14.0,113042.0
Data Analyst,Senior,Large,Germany,Contract,50,12.0,157198.0
AI Engineer,Mid,Small,India,Part-time,50,11.0,105386.0
Business Intelligence Analyst,Entry,Large,India,Full-time,0,14.0,91692.0
Data Scientist,Entry,Medium,Australia,Part-time,100,1.0,30225.0
Business Intelligence Analyst,Entry,Small,USA,Part-time,0,4.0,46693.0
AI Engineer,Mid,Medium,India,Full-time,100,6.0,76661.0
AI Engineer,Entry,Large,,Part-time,50,10.0,70253.0
AI Engineer,Mid,Large,UK,Full-time,0,9.0,103261.0
Business Intelligence Analyst,Mid,Medium,Canada,Contract,0,10.0,108870.0
AI Engineer,Entry,Small,Germany,Full-time,100,10.0,
Data Engineer,Entry,Small,Canada,Full-time,100,10.0,
Business Intelligence Analyst,Entry,Large,Canada,Contract,100,14.0,94598.0
AI Engineer,Senior,Medium,UK,Full-time,50,9.0,131786.0
Data Engineer,Entry,Medium,India,Contract,0,14.0,84014.0
Data Analyst,Mid,Small,Germany,Contract,100,14.0,117392.0
AI Engineer,Senior,Small,India,Full-time,50,14.0,162545.0
Business Intelligence Analyst,Mid,Small,Australia,Part-time,100,12.0,105353.0
Machine Learning Engineer,Senior,Medium,Canada,Part-time,0,13.0,148407.0
AI Engineer,Mid,Small,Australia,Contract,100,0.0,57358.0
Machine Learning Engineer,Executive,Small,USA,Part-time,0,12.0,196053.0
Data Engineer,Entry,Large,Canada,Part-time,50,9.0,68189.0
Data Analyst,Entry,Small,India,Full-time,50,8.0,61213.0
Data Scientist,Mid,Small,Canada,Contract,100,0.0,47248.0
Data Analyst,Senior,Medium,USA,Contract,0,,84369.0
AI Engineer,Senior,Medium,UK,Full-time,0,13.0,153050.0
Machine Learning Engineer,Entry,Large,Australia,Part-time,0,14.0,
Machine Learning Engineer,Entry,Small,Australia,Contract,100,11.0,70415.0
Business Intelligence Analyst,Senior,Large,India,Part-time,0,9.0,140398.0
Machine Learning Engineer,Entry,Medium,Canada,Contract,0,7.0,53115.0
Business Intelligence Analyst,Senior,Large,India,Contract,0,5.0,105287.0
Data Engineer,Senior,Medium,UK,Contract,0,5.0,108195.0
Data Scientist,Mid,Large,,Contract,100,11.0,113376.0
AI Engineer,Mid,Large,,Part-time,100,8.0,87450.0
Business Intelligence Analyst,Mid,Small,India,Part-time,0,14.0,112925.0
Data Scientist,Entry,Large,India,Part-time,0,3.0,39515.0
Machine Learning Engineer,Senior,Small,USA,Part-time,50,7.0,132504.0
Machine Learning Engineer,Mid,Small,UK,Full-time,50,3.0,60310.0
Data Scientist,Senior,Small,USA,Contract,0,13.0,161830.0
Machine Learning Engineer,Entry,Small,Australia,Contract,0,1.0,26760.0
Data Engineer,Executive,Large,Canada,Contract,50,10.0,184896.0
Data Engineer,Mid,Medium,India,Full-time,50,14.0,129280.0
Data Scientist,Entry,Medium,Canada,Part-time,0,7.0,62105.0
Business Intelligence Analyst,Entry,Medium,Canada,Contract,100,11.0,83547.0
Business Intelligence Analyst,Senior,Large,Germany,Part-time,100,6.0,
Data Scientist,Mid,Small,Australia,Part-time,0,3.0,70457.0
Business Intelligence Analyst,Senior,Medium,Germany,Full-time,0,8.0,129543.0
Business Intelligence Analyst,Entry,Large,Canada,Full-time,50,14.0,83980.0
Data Engineer,Entry,Small,,Part-time,50,8.0,61576.0
Business Intelligence Analyst,Mid,Medium,Canada,Contract,100,7.0,93109.0
Data Analyst,Mid,Small,Australia,Contract,0,13.0,108413.0
AI Engineer,Mid,Medium,Germany,Full-time,50,0.0,40494.0
Machine Learning Engineer,Executive,Medium,India,Full-time,100,6.0,150947.0
Data Analyst,Executive,Medium,Canada,Full-time,100,4.0,140022.0
Business Intelligence Analyst,Senior,Small,UK,Full-time,100,,111128.0
Data Engineer,Senior,Large,Australia,Full-time,50,11.0,148986.0
Data Scientist,Mid,Small,Australia,Full-time,50,8.0,96161.0
Business Intelligence Analyst,Mid,Medium,UK,Full-time,0,1.0,61160.0
Data Engineer,Mid,Small,Canada,Contract,0,12.0,116941.0
AI Engineer,Senior,Large,Australia,Full-time,100,13.0,154808.0
Business Intelligence Analyst,Entry,Small,India,Full-time,100,10.0,66998.0
Data Scientist,Mid,Large,Canada,Contract,50,3.0,62182.0
Data Engineer,Entry,Large,Canada,Contract,50,3.0,43040.0
Data Engineer,Mid,Small,Germany,Part-time,0,1.0,53998.0
Data Engineer,Senior,Medium,Australia,Full-time,0,,93312.0
AI Engineer,Senior,Large,Australia,Full-time,0,10.0,
Business Intelligence Analyst,Entry,Small,UK,Full-time,50,13.0,90802.0
AI Engineer,Executive,Large,Germany,Full-time,100,13.0,196167.0
Machine Learning Engineer,Mid,Medium,Germany,Part-time,0,12.0,102324.0
Machine Learning Engineer,Entry,Small,,Contract,0,7.0,54639.0
Business Intelligence Analyst,Entry,Small,Canada,Contract,50,11.0,78338.0
AI Engineer,Entry,Small,Germany,Full-time,0,8.0,
Data Scientist,Entry,Medium,UK,Full-time,100,5.0,40984.0
Data Engineer,Executive,Large,Germany,Full-time,50,9.0,183895.0
Data Engineer,Mid,Small,UK,Part-time,0,1.0,60142.0
Business Intelligence Analyst,Senior,Large,Germany,Part-time,0,1.0,96063.0
Machine Learning Engineer,Mid,Large,,Contract,50,6.0,70362.0
Machine Learning Engineer,Entry,Medium,Germany,Full-time,50,7.0,48454.0
Data Engineer,Mid,Small,Germany,Full-time,0,7.0,94182.0
Business Intelligence Analyst,Entry,Large,India,Full-time,100,13.0,78255.0
AI Engineer,Mid,Small,UK,Full-time,50,5.0,82601.0
Machine Learning Engineer,Senior,Small,UK,Part-time,100,9.0,142869.0
AI Engineer,Mid,Medium,UK,Contract,0,7.0,80349.0
Machine Learning Engineer,Mid,Small,USA,Contract,100,13.0,112195.0
Machine Learning Engineer,Entry,Small,Germany,Part-time,0,14.0,
Data Analyst,Entry,Large,UK,Full-time,0,0.0,17750.0
Machine Learning Engineer,Entry,Medium,Australia,Contract,0,8.0,59399.0
Data Scientist,Mid,Small,USA,Contract,0,12.0,113686.0
Business Intelligence Analyst,Entry,Large,India,Part-time,100,11.0,73035.0
Business Intelligence Analyst,Mid,Medium,UK,Full-time,0,0.0,41507.0
AI Engineer,Mid,Medium,UK,Contract,0,12.0,117387.0
Machine Learning Engineer,Mid,Large,USA,Full-time,100,2.0,64776.0
Data Scientist,Entry,Large,Germany,Contract,50,11.0,82309.0
AI Engineer,Entry,Large,Australia,Part-time,100,8.0,56583.0
Data Analyst,Senior,Large,India,Full-time,100,14.0,
AI Engineer,Mid,Large,UK,Part-time,100,10.0,107369.0
AI Engineer,Mid,Small,Germany,Contract,0,4.0,75797.0
Machine Learning Engineer,Entry,Small,Australia,Part-time,0,,54231.0
Data Analyst,Executive,Medium,Australia,Part-time,0,8.0,165302.0
AI Engineer,Mid,Small,India,Part-time,50,5.0,70291.0
Data Scientist,Mid,Small,Canada,Contract,0,10.0,90908.0
Data Scientist,Senior,Small,Australia,Full-time,50,0.0,95123.0
Business Intelligence Analyst,Entry,Large,,Part-time,0,9.0,67877.0
Data Analyst,Mid,Medium,Australia,Full-time,100,6.0,84239.0
Data Analyst,Mid,Medium,India,Contract,0,13.0,107586.0
Business Intelligence Analyst,Entry,Medium,USA,Full-time,50,5.0,44335.0
AI Engineer,Executive,Medium,India,Part-time,50,8.0,175640.0
Data Analyst,Senior,Small,India,Part-time,0,6.0,127715.0
Data Scientist,Mid,Small,USA,Part-time,100,13.0,115534.0
Data Scientist,Entry,Large,USA,Part-time,0,11.0,66806.0
Machine Learning Engineer,Entry,Medium,,Part-time,0,10.0,70292.0
Data Analyst,Mid,Small,Australia,Part-time,0,11.0,112189.0
AI Engineer,Senior,Small,Germany,Contract,100,12.0,
Business Intelligence Analyst,Entry,Large,USA,Contract,50,3.0,41455.0
Business Intelligence Analyst,Mid,Large,Canada,Contract,100,6.0,70027.0
AI Engineer,Senior,Large,Canada,Full-time,50,1.0,93660.0
Data Engineer,Entry,Small,India,Full-time,50,5.0,42055.0
Machine Learning Engineer,Mid,Small,UK,Contract,50,14.0,
Business Intelligence Analyst,Entry,Large,India,Full-time,100,5.0,45440.0
Data Analyst,Executive,Medium,India,Full-time,0,,128832.0
Machine Learning Engineer,Mid,Large,UK,Part-time,0,13.0,
Data Analyst,Entry,Large,Australia,Part-time,0,3.0,38107.0
Data Scientist,Mid,Large,USA,Full-time,0,7.0,88777.0
Machine Learning Engineer,Mid,Large,Canada,Full-time,0,7.0,90954.0
Business Intelligence Analyst,Senior,Small,India,Contract,100,12.0,156943.0
Machine Learning Engineer,Senior,Medium,UK,Full-time,100,7.0,122957.0
Machine Learning Engineer,Mid,Large,Germany,Part-time,100,7.0,87666.0
Machine Learning Engineer,Entry,Medium,India,Full-time,100,0.0,20110.0
Data Engineer,Entry,Medium,Canada,Contract,100,1.0,22344.0
Machine Learning Engineer,Entry,Medium,USA,Part-time,100,11.0,81462.0
Data Analyst,Mid,Large,India,Part-time,100,14.0,123696.0
Data Scientist,Senior,Small,India,Part-time,0,3.0,96031.0
AI Engineer,Mid,Large,Australia,Part-time,50,11.0,113456.0
Machine Learning Engineer,Entry,Medium,UK,Full-time,100,8.0,65090.0
Business Intelligence Analyst,Mid,Medium,Germany,Contract,50,2.0,65816.0
Machine Learning Engineer,Senior,Small,Germany,Full-time,100,13.0,162868.0
Business Intelligence Analyst,Senior,Large,USA,Full-time,100,5.0,115437.0
Data Analyst,Senior,Medium,Canada,Part-time,0,6.0,125453.0
Business Intelligence Analyst,Entry,Small,USA,Contract,50,7.0,59258.0
AI Engineer,Entry,Medium,India,Part-time,0,12.0,71550.0
Data Scientist,Senior,Small,India,Full-time,0,6.0,122977.0
Business Intelligence Analyst,Mid,Small,Germany,Full-time,50,2.0,54682.0
Business Intelligence Analyst,Mid,Large,Canada,Part-time,0,5.0,79439.0
Data Scientist,Senior,Medium,UK,Full-time,100,4.0,118213.0
AI Engineer,Senior,Large,Canada,Full-time,100,14.0,153751.0
Machine Learning Engineer,Mid,Medium,India,Part-time,100,12.0,112914.0
Business Intelligence Analyst,Mid,Large,UK,Full-time,100,11.0,105223.0
Data Scientist,Mid,Medium,Canada,Contract,100,9.0,100398.0
Data Analyst,Mid,Large,Canada,Part-time,0,3.0,61601.0
Data Scientist,Mid,Small,UK,Contract,0,0.0,43856.0
Data Analyst,Senior,Medium,India,Full-time,100,13.0,157661.0
AI Engineer,Senior,Medium,Canada,Full-time,100,12.0,155591.0
Machine Learning Engineer,Senior,Small,UK,Part-time,0,6.0,116182.0
Data Scientist,Entry,Large,Australia,Full-time,50,7.0,52970.0
Data Engineer,Senior,Medium,Australia,Part-time,0,1.0,100154.0
Business Intelligence Analyst,Senior,Medium,India,Part-time,0,6.0,112094.0
AI Engineer,Mid,Large,UK,Part-time,0,5.0,77095.0
Data Scientist,Senior,Small,Australia,Part-time,0,4.0,119416.0
Business Intelligence Analyst,Senior,Large,UK,Part-time,0,12.0,153672.0
Data Scientist,Mid,Large,Canada,Contract,50,3.0,72932.0
Data Analyst,Mid,Large,India,Part-time,100,1.0,59228.0
Data Scientist,Entry,Medium,Australia,Contract,100,9.0,63559.0
Data Engineer,Mid,Small,Canada,Full-time,50,5.0,65064.0
Data Scientist,Mid,Small,USA,Part-time,100,4.0,63299.0
Data Scientist,Senior,Large,USA,Full-time,100,1.0,89849.0
Data Engineer,Entry,Medium,India,Part-time,100,9.0,60639.0
AI Engineer,Entry,Large,Australia,Contract,50,6.0,58419.0
Data Scientist,Mid,Medium,Australia,Contract,50,5.0,
Data Engineer,Entry,Medium,Australia,Contract,100,11.0,83612.0
Business Intelligence Analyst,Entry,Medium,UK,Full-time,100,14.0,96980.0
Data Analyst,Entry,Medium,Canada,Part-time,100,14.0,99990.0
Data Analyst,Entry,Small,Australia,Full-time,0,10.0,70866.0
Data Scientist,Entry,Medium,Canada,Contract,0,8.0,53889.0
AI Engineer,Mid,Medium,India,Full-time,0,10.0,109890.0
AI Engineer,Mid,Large,,Contract,50,9.0,100458.0
Business Intelligence Analyst,Senior,Large,India,Contract,100,4.0,117779.0
Data Scientist,Mid,Small,Australia,Contract,50,,80452.0
Data Analyst,Senior,Large,USA,Part-time,50,8.0,130995.0
AI Engineer,Entry,Medium,Germany,Part-time,50,12.0,72631.0
Data Scientist,Entry,Large,India,Contract,100,0.0,12186.0
AI Engineer,Senior,Small,Australia,Full-time,0,4.0,
Data Engineer,Entry,Large,Germany,Full-time,100,8.0,54348.0
AI Engineer,Mid,Large,India,Part-time,100,6.0,71459.0
Data Analyst,Mid,Small,,Contract,50,5.0,66942.0
Machine Learning Engineer,Mid,Small,Australia,Full-time,50,5.0,79896.0
Business Intelligence Analyst,Entry,Medium,UK,Contract,50,10.0,74407.0
Business Intelligence Analyst,Mid,Large,USA,Full-time,0,6.0,85622.0
Data Analyst,Mid,Medium,Australia,Part-time,0,0.0,54557.0
AI Engineer,Entry,Large,USA,Contract,0,3.0,41445.0
Data Scientist,Mid,Large,Germany,Contract,100,12.0,117878.0
AI Engineer,Senior,Medium,India,Full-time,50,14.0,167564.0
Data Analyst,Executive,Large,Canada,Full-time,100,0.0,133093.0
Business Intelligence Analyst,Entry,Large,USA,Full-time,0,5.0,37788.0
AI Engineer,Senior,Large,Canada,Contract,50,13.0,155400.0
Business Intelligence Analyst,Mid,Small,Canada,Part-time,0,12.0,116489.0
Data Scientist,Mid,Medium,India,Part-time,50,3.0,58925.0
Business Intelligence Analyst,Entry,Small,Germany,Full-time,50,0.0,28292.0
Business Intelligence Analyst,Senior,Medium,India,Part-time,100,8.0,138433.0
Machine Learning Engineer,Entry,Medium,Australia,Full-time,100,,79568.0
Machine Learning Engineer,Mid,Large,USA,Part-time,0,3.0,67656.0
Data Engineer,Entry,Medium,Canada,Contract,100,,74466.0
Machine Learning Engineer,Senior,Small,India,Full-time,100,5.0,108904.0
Business Intelligence Analyst,Senior,Small,India,Part-time,100,12.0,155467.0
Data Analyst,Senior,Small,India,Contract,50,6.0,120419.0
Business Intelligence Analyst,Entry,Medium,USA,Part-time,100,7.0,61676.0
Data Analyst,Entry,Small,Germany,Contract,0,11.0,75414.0
Data Analyst,Mid,Medium,India,Contract,50,12.0,112165.0
Machine Learning Engineer,Mid,Small,USA,Part-time,50,10.0,100683.0
AI Engineer,Entry,Small,Canada,Part-time,100,8.0,65442.0
Data Scientist,Mid,Medium,Australia,Contract,50,8.0,84860.0
Machine Learning Engineer,Executive,Small,UK,Contract,0,7.0,158729.0
Machine Learning Engineer,Senior,Large,USA,Contract,0,9.0,139400.0
AI Engineer,Senior,Medium,UK,Full-time,50,,138619.0
Data Scientist,Executive,Medium,India,Contract,100,14.0,
Business Intelligence Analyst,Entry,Medium,India,Full-time,100,11.0,71110.0
Data Engineer,Mid,Large,USA,Contract,50,11.0,
Data Engineer,Executive,Medium,UK,Full-time,0,,190106.0
Business Intelligence Analyst,Entry,Small,India,Contract,50,13.0,79754.0
Machine Learning Engineer,Senior,Small,Canada,Contract,100,2.0,101525.0
Data Scientist,Mid,Small,Germany,Contract,100,11.0,101408.0
Machine Learning Engineer,Mid,Medium,Germany,Part-time,50,1.0,52635.0
Data Analyst,Mid,Small,India,Part-time,0,,61225.0
Machine Learning Engineer,Senior,Medium,UK,Contract,50,0.0,92196.0
Machine Learning Engineer,Senior,Small,Australia,Full-time,0,2.0,94250.0
Business Intelligence Analyst,Entry,Large,India,Full-time,0,0.0,25372.0
Business Intelligence Analyst,Senior,Large,Australia,Contract,50,12.0,157279.0
Business Intelligence Analyst,Entry,Large,Australia,Part-time,50,2.0,32097.0
Data Engineer,Mid,Large,UK,Full-time,0,12.0,118004.0
Data Analyst,Mid,Medium,Australia,Part-time,0,3.0,67055.0
Business Intelligence Analyst,Mid,Small,Canada,Full-time,0,6.0,75419.0
Data Scientist,Mid,Large,,Contract,0,11.0,112769.0
Data Engineer,Senior,Medium,India,Part-time,100,14.0,165713.0
AI Engineer,Senior,Large,Canada,Full-time,50,,146784.0
Data Scientist,Mid,Large,USA,Contract,0,4.0,62433.0
Data Scientist,Entry,Medium,Germany,Contract,50,4.0,40998.0
Business Intelligence Analyst,Senior,Medium,India,Contract,0,12.0,151575.0
AI Engineer,Senior,Small,India,Part-time,50,0.0,81301.0
AI Engineer,Senior,Small,India,Part-time,50,7.0,121858.0
Data Engineer,Entry,Large,Canada,Contract,0,12.0,78950.0
AI Engineer,Entry,Large,USA,Part-time,0,3.0,33938.0
Data Analyst,Entry,Small,UK,Full-time,50,9.0,60644.0
Business Intelligence Analyst,Entry,Small,USA,Contract,50,4.0,41078.0
AI Engineer,Mid,Medium,Canada,Contract,50,1.0,54260.0
Data Engineer,Senior,Small,India,Part-time,100,14.0,164690.0
Data Analyst,Mid,Small,Germany,Contract,0,11.0,98307.0
Machine Learning Engineer,Entry,Large,India,Full-time,100,12.0,86488.0
Machine Learning Engineer,Entry,Small,UK,Part-time,100,0.0,10395.0
Data Analyst,Entry,Large,Australia,Part-time,0,8.0,69901.0
Data Engineer,Entry,Small,Germany,Contract,0,14.0,90845.0
Data Analyst,Entry,Medium,India,Contract,100,1.0,18291.0
Business Intelligence Analyst,Entry,Small,Germany,Contract,0,5.0,53394.0
Business Intelligence Analyst,Senior,Small,Australia,Part-time,50,0.0,93138.0
Machine Learning Engineer,Executive,Small,USA,Contract,50,0.0,124537.0
AI Engineer,Mid,Large,,Full-time,100,8.0,89860.0
Data Engineer,Mid,Medium,India,Contract,100,3.0,72435.0
Machine Learning Engineer,Senior,Small,UK,Contract,0,8.0,139225.0
AI Engineer,Entry,Large,USA,Part-time,0,10.0,66618.0
AI Engineer,Entry,Medium,India,Contract,100,4.0,34723.0
Business Intelligence Analyst,Senior,Large,USA,Part-time,100,6.0,129968.0
Data Scientist,Entry,Large,UK,Contract,50,0.0,24837.0
Data Scientist,Mid,Medium,India,Full-time,50,5.0,73539.0
Data Analyst,Mid,Small,Australia,Full-time,0,7.0,76263.0
Business Intelligence Analyst,Mid,Large,Australia,Part-time,50,13.0,118305.0
AI Engineer,Mid,Large,UK,Part-time,0,0.0,50934.0
Data Engineer,Senior,Small,Germany,Contract,0,,130265.0
Data Scientist,Entry,Small,UK,Contract,0,2.0,36339.0
AI Engineer,Entry,Medium,Germany,Full-time,50,0.0,11351.0
Data Scientist,Senior,Medium,India,Contract,100,0.0,87190.0
Data Scientist,Mid,Medium,Germany,Full-time,100,12.0,119030.0
Data Scientist,Entry,Small,India,Part-time,50,13.0,91650.0
Data Engineer,Senior,Large,India,Contract,100,10.0,140885.0
Business Intelligence Analyst,Mid,Large,Canada,Part-time,0,5.0,72434.0
Data Engineer,Senior,Medium,India,Contract,100,10.0,131022.0
Machine Learning Engineer,Senior,Small,Germany,Full-time,50,5.0,107037.0
AI Engineer,Mid,Large,Canada,Part-time,100,0.0,48756.0
Business Intelligence Analyst,Mid,Medium,Canada,Part-time,0,,118558.0
Business Intelligence Analyst,Executive,Large,India,Contract,0,13.0,202443.0
Business Intelligence Analyst,Entry,Large,UK,Part-time,50,2.0,21424.0
Business Intelligence Analyst,Senior,Small,,Full-time,50,6.0,114123.0
Data Engineer,Entry,Small,,Part-time,50,9.0,71603.0
Business Intelligence Analyst,Mid,Large,Canada,Part-time,0,2.0,50405.0
Data Analyst,Mid,Medium,India,Contract,100,2.0,59829.0
AI Engineer,Senior,Small,UK,Part-time,100,2.0,108702.0
Business Intelligence Analyst,Executive,Large,India,Contract,50,11.0,184951.0
AI Engineer,Entry,Small,India,Contract,100,6.0,48983.0
Data Analyst,Entry,Small,Canada,Part-time,100,3.0,42693.0
Data Analyst,Senior,Small,,Full-time,50,,107025.0
AI Engineer,Mid,Large,Canada,Contract,50,2.0,54929.0
Data Scientist,Entry,Medium,USA,Part-time,0,9.0,64522.0
Machine Learning Engineer,Mid,Medium,UK,Contract,0,10.0,102638.0
Data Scientist,Mid,Medium,UK,Full-time,0,8.0,88702.0
Data Scientist,Executive,Small,UK,Full-time,0,1.0,135764.0
Data Engineer,Entry,Large,Germany,Contract,100,3.0,37121.0
Data Scientist,Mid,Small,India,Full-time,100,7.0,89219.0
Business Intelligence Analyst,Mid,Medium,,Part-time,0,5.0,66617.0
Data Engineer,Senior,Medium,UK,Part-time,0,13.0,155248.0
Data Engineer,Mid,Large,USA,Contract,50,6.0,87904.0
Data Analyst,Mid,Small,UK,Full-time,100,12.0,101583.0
Data Scientist,Entry,Medium,Australia,Part-time,100,6.0,46704.0
Data Analyst,Senior,Large,India,Part-time,0,1.0,92988.0
AI Engineer,Mid,Small,India,Part-time,100,3.0,72959.0
Machine Learning Engineer,Entry,Small,Canada,Contract,50,9.0,64953.0
Data Engineer,Mid,Medium,Germany,Contract,50,9.0,87613.0
AI Engineer,Entry,Medium,Canada,Part-time,100,5.0,38892.0
AI Engineer,Entry,Small,UK,Part-time,0,2.0,32336.0
Business Intelligence Analyst,Senior,Small,Australia,Full-time,100,8.0,126733.0
Machine Learning Engineer,Mid,Medium,USA,Full-time,50,12.0,104431.0
AI Engineer,Senior,Small,Canada,Full-time,0,3.0,112765.0
AI Engineer,Entry,Medium,Germany,Contract,100,9.0,58515.0
Machine Learning Engineer,Senior,Small,Canada,Part-time,0,12.0,144454.0
Machine Learning Engineer,Entry,Medium,India,Contract,0,1.0,22769.0
AI Engineer,Mid,Large,UK,Part-time,50,5.0,73384.0
Machine Learning Engineer,Executive,Medium,UK,Full-time,0,0.0,133727.0
AI Engineer,Senior,Medium,UK,Full-time,100,,108534.0
AI Engineer,Mid,Large,UK,Full-time,0,12.0,100755.0
Business Intelligence Analyst,Mid,Small,UK,Full-time,0,11.0,113909.0
Data Scientist,Senior,Large,UK,Part-time,100,9.0,142211.0
AI Engineer,Mid,Medium,USA,Full-time,50,0.0,58717.0
Data Analyst,Senior,Small,Germany,Part-time,50,13.0,153302.0
Data Engineer,Senior,Large,UK,Part-time,100,7.0,127907.0
Data Scientist,Entry,Small,Germany,Contract,100,4.0,38984.0
Data Scientist,Entry,Small,Australia,Full-time,50,5.0,49385.0
Data Scientist,Mid,Large,UK,Full-time,0,1.0,52181.0
Business Intelligence Analyst,Entry,Small,Canada,Contract,100,1.0,28445.0
AI Engineer,Entry,Large,UK,Part-time,0,11.0,77875.0
Business Intelligence Analyst,Senior,Medium,India,Full-time,100,8.0,123414.0
AI Engineer,Mid,Small,USA,Part-time,50,2.0,65005.0
Business Intelligence Analyst,Senior,Medium,Canada,Contract,0,5.0,114501.0
Business Intelligence Analyst,Mid,Medium,Canada,Part-time,0,9.0,99245.0
Data Engineer,Mid,Small,India,Full-time,100,4.0,66457.0
Data Analyst,Entry,Large,UK,Part-time,0,13.0,81749.0
Business Intelligence Analyst,Mid,Small,USA,Part-time,100,11.0,95296.0
Data Engineer,Entry,Medium,Canada,Full-time,50,3.0,34821.0
Machine Learning Engineer,Mid,Medium,USA,Full-time,0,9.0,101952.0
Data Analyst,Senior,Large,Canada,Part-time,100,1.0,90283.0
Business Intelligence Analyst,Mid,Small,UK,Part-time,0,7.0,88119.0
Data Scientist,Mid,Medium,Australia,Contract,100,9.0,92664.0
Machine Learning Engineer,Mid,Medium,Canada,Full-time,100,6.0,77511.0
Machine Learning Engineer,Entry,Medium,Australia,Part-time,100,10.0,65465.0
Data Engineer,Mid,Large,Canada,Full-time,50,1.0,57557.0
Machine Learning Engineer,Entry,Medium,Germany,Contract,0,5.0,39382.0
Data Analyst,Entry,Medium,UK,Part-time,50,13.0,
Business Intelligence Analyst,Entry,Small,India,Part-time,100,7.0,62263.0
Business Intelligence Analyst,Mid,Small,,Part-time,100,6.0,79408.0
Data Scientist,Senior,Medium,India,Full-time,50,14.0,163690.0
Data Engineer,Entry,Medium,UK,Contract,50,0.0,15069.0
Data Scientist,Mid,Small,India,Full-time,0,4.0,79623.0
Machine Learning Engineer,Mid,Large,UK,Part-time,100,1.0,56672.0
Data Scientist,Entry,Large,India,Contract,50,5.0,51891.0
Data Analyst,Senior,Large,Australia,Part-time,100,6.0,
Business Intelligence Analyst,Mid,Large,Germany,Part-time,100,13.0,122509.0
Machine Learning Engineer,Mid,Large,India,Full-time,0,13.0,122269.0
Data Scientist,Mid,Large,Australia,Part-time,0,6.0,89225.0
Data Engineer,Entry,Large,Canada,Contract,0,2.0,27975.0
Data Analyst,Mid,Large,UK,Part-time,50,6.0,82069.0
Data Analyst,Mid,Small,USA,Part-time,100,14.0,116565.0
Data Scientist,Senior,Large,USA,Full-time,50,,104870.0
Business Intelligence Analyst,Entry,Large,UK,Contract,50,7.0,63909.0
Data Scientist,Mid,Large,Germany,Full-time,0,14.0,119117.0
Machine Learning Engineer,Mid,Medium,India,Part-time,100,11.0,96938.0
Data Scientist,Entry,Small,Germany,Full-time,100,7.0,56554.0
Data Analyst,Mid,Small,USA,Full-time,0,6.0,73232.0
Data Scientist,Senior,Small,Australia,Full-time,100,5.0,108465.0
Business Intelligence Analyst,Senior,Large,UK,Full-time,0,1.0,85440.0
Data Engineer,Mid,Large,UK,Part-time,50,5.0,81845.0
AI Engineer,Senior,Medium,Germany,Part-time,50,12.0,145413.0
Data Scientist,Executive,Small,Australia,Contract,0,11.0,186663.0
Business Intelligence Analyst,Senior,Large,Germany,Full-time,50,14.0,155755.0
Business Intelligence Analyst,Entry,Small,India,Full-time,50,10.0,65012.0
Data Engineer,Senior,Medium,Canada,Contract,0,8.0,139547.0
Data Analyst,Mid,Medium,Australia,Full-time,50,14.0,126126.0
Business Intelligence Analyst,Executive,Medium,Canada,Contract,100,1.0,
Business Intelligence Analyst,Mid,Small,India,Part-time,50,0.0,40005.0
Business Intelligence Analyst,Entry,Large,Canada,Contract,0,10.0,64776.0
Business Intelligence Analyst,Senior,Large,USA,Full-time,100,12.0,147038.0
Machine Learning Engineer,Mid,Medium,Canada,Contract,100,4.0,
Machine Learning Engineer,Executive,Large,India,Part-time,50,10.0,173970.0
Data Analyst,Executive,Medium,Canada,Full-time,100,5.0,156050.0
Data Scientist,Mid,Small,UK,Part-time,0,2.0,52606.0
Business Intelligence Analyst,Entry,Medium,Germany,Part-time,100,7.0,61482.0
Data Engineer,Mid,Small,USA,Contract,50,6.0,70525.0
Data Scientist,Entry,Medium,UK,Part-time,50,1.0,21337.0
Data Engineer,Entry,Large,UK,Full-time,100,11.0,66180.0
Data Scientist,Senior,Large,,Part-time,0,6.0,123057.0
Data Analyst,Entry,Medium,Germany,Part-time,0,14.0,85922.0
