,job_title,experience_level,company_size,company_location,employment_type,remote_ratio,years_experience,salary_usd
382,Data Engineer,Senior,Small,Canada,Contract,50,1.0,94023.0
383,Machine Learning Engineer,Entry,Small,India,Full-time,50,13.0,86884.0
384,Data Analyst,Entry,Small,USA,Part-time,50,8.0,66352.0
385,Machine Learning Engineer,Mid,Small,India,Part-time,100,4.0,72882.0
386,Machine Learning Engineer,Mid,Small,India,Part-time,50,9.0,95346.0
387,Machine Learning Engineer,Mid,Medium,Australia,Part-time,0,4.0,74035.0
388,Data Scientist,Mid,Large,Canada,Part-time,50,0.0,56108.0
389,Data Scientist,Entry,Small,USA,Contract,50,5.0,37853.0
390,Data Scientist,Entry,Small,India,Part-time,100,12.0,88620.0
391,Data Analyst,Mid,Medium,India,Part-time,0,6.0,74176.0
392,Data Engineer,Senior,Medium,Germany,Part-time,100,0.0,82155.0
393,Business Intelligence Analyst,Mid,Large,India,Part-time,100,8.0,86829.0
394,Machine Learning Engineer,Entry,Medium,USA,Full-time,0,7.0,46886.0
395,Machine Learning Engineer,Mid,Large,India,Part-time,100,11.0,101471.0
396,Data Analyst,Entry,Small,Germany,Part-time,0,13.0,87589.0
397,Machine Learning Engineer,Entry,Small,USA,Contract,50,13.0,83391.0
398,Data Scientist,Senior,Large,Canada,Full-time,0,7.0,134324.0
399,Business Intelligence Analyst,Entry,Medium,USA,Contract,0,6.0,59874.0
400,AI Engineer,Entry,Large,Canada,Part-time,0,4.0,43350.0
401,Machine Learning Engineer,Mid,Medium,USA,Contract,100,2.0,57899.0
402,Data Scientist,Mid,Small,Germany,Contract,0,14.0,110306.0
403,AI Engineer,Mid,Medium,Germany,Part-time,0,11.0,98075.0
404,Business Intelligence Analyst,Entry,Large,USA,Full-time,0,13.0,93040.0
405,AI Engineer,Entry,Large,India,Full-time,50,8.0,57244.0
406,Data Scientist,Entry,Small,India,Contract,0,13.0,81611.0
407,Data Engineer,Entry,Medium,Canada,Part-time,100,6.0,59076.0
408,Data Engineer,Mid,Medium,Canada,Contract,0,10.0,88269.0
409,AI Engineer,Senior,Medium,UK,Contract,0,9.0,143148.0
410,Data Analyst,Senior,Small,Australia,Contract,50,9.0,125275.0
411,AI Engineer,Senior,Medium,Australia,Part-time,0,7.0,120271.0
412,Machine Learning Engineer,Mid,Large,Australia,Part-time,100,13.0,88269.0
413,Machine Learning Engineer,Mid,Medium,Canada,Full-time,0,5.0,76553.0
414,Data Engineer,Mid,Small,UK,Part-time,100,11.0,106573.0
415,Data Analyst,Mid,Medium,Australia,Contract,50,13.0,124844.0
416,Data Scientist,Mid,Medium,Australia,Contract,0,10.0,100072.0
417,Machine Learning Engineer,Entry,Large,USA,Full-time,50,13.0,91017.0
418,Data Engineer,Mid,Medium,USA,Part-time,0,4.0,78228.0
419,Business Intelligence Analyst,Executive,Large,USA,Contract,100,14.0,206455.0
420,Data Engineer,Entry,Large,India,Full-time,50,7.0,52386.0
421,Machine Learning Engineer,Entry,Small,Australia,Full-time,0,2.0,26862.0
422,Machine Learning Engineer,Mid,Large,India,Contract,100,11.0,102340.0
423,Data Engineer,Senior,Large,UK,Contract,50,12.0,149487.0
424,Data Scientist,Mid,Small,Canada,Part-time,0,12.0,115061.0
425,AI Engineer,Mid,Large,Australia,Full-time,50,6.0,77635.0
426,Machine Learning Engineer,Entry,Small,Canada,Contract,0,1.0,29604.0
427,Data Engineer,Mid,Medium,USA,Full-time,100,2.0,67427.0
428,Data Engineer,Mid,Small,Australia,Part-time,100,14.0,113042.0
429,Data Analyst,Senior,Large,Germany,Contract,50,12.0,157198.0
430,AI Engineer,Mid,Small,India,Part-time,50,11.0,105386.0
431,Business Intelligence Analyst,Entry,Large,India,Full-time,0,14.0,91692.0
432,Data Scientist,Entry,Medium,Australia,Part-time,100,1.0,30225.0
433,Business Intelligence Analyst,Entry,Small,USA,Part-time,0,4.0,46693.0
434,AI Engineer,Mid,Medium,India,Full-time,100,6.0,76661.0
435,AI Engineer,Entry,Large,India,Part-time,50,10.0,70253.0
436,AI Engineer,Mid,Large,UK,Full-time,0,9.0,103261.0
437,Business Intelligence Analyst,Mid,Medium,Canada,Contract,0,10.0,108870.0
438,AI Engineer,Entry,Small,Germany,Full-time,100,10.0,88269.0
439,Data Engineer,Entry,Small,Canada,Full-time,100,10.0,88269.0
440,Business Intelligence Analyst,Entry,Large,Canada,Contract,100,14.0,94598.0
441,AI Engineer,Senior,Medium,UK,Full-time,50,9.0,131786.0
442,Data Engineer,Entry,Medium,India,Contract,0,14.0,84014.0
443,Data Analyst,Mid,Small,Germany,Contract,100,14.0,117392.0
444,AI Engineer,Senior,Small,India,Full-time,50,14.0,162545.0
445,Business Intelligence Analyst,Mid,Small,Australia,Part-time,100,12.0,105353.0
446,Machine Learning Engineer,Senior,Medium,Canada,Part-time,0,13.0,148407.0
447,AI Engineer,Mid,Small,Australia,Contract,100,0.0,57358.0
448,Machine Learning Engineer,Executive,Small,USA,Part-time,0,12.0,196053.0
449,Data Engineer,Entry,Large,Canada,Part-time,50,9.0,68189.0
450,Data Analyst,Entry,Small,India,Full-time,50,8.0,61213.0
451,Data Scientist,Mid,Small,Canada,Contract,100,0.0,47248.0
452,Data Analyst,Senior,Medium,USA,Contract,0,7.0,84369.0
453,AI Engineer,Senior,Medium,UK,Full-time,0,13.0,153050.0
454,Machine Learning Engineer,Entry,Large,Australia,Part-time,0,14.0,88269.0
455,Machine Learning Engineer,Entry,Small,Australia,Contract,100,11.0,70415.0
456,Business Intelligence Analyst,Senior,Large,India,Part-time,0,9.0,140398.0
457,Machine Learning Engineer,Entry,Medium,Canada,Contract,0,7.0,53115.0
458,Business Intelligence Analyst,Senior,Large,India,Contract,0,5.0,105287.0
459,Data Engineer,Senior,Medium,UK,Contract,0,5.0,108195.0
460,Data Scientist,Mid,Large,India,Contract,100,11.0,113376.0
461,AI Engineer,Mid,Large,India,Part-time,100,8.0,87450.0
462,Business Intelligence Analyst,Mid,Small,India,Part-time,0,14.0,112925.0
463,Data Scientist,Entry,Large,India,Part-time,0,3.0,39515.0
464,Machine Learning Engineer,Senior,Small,USA,Part-time,50,7.0,132504.0
465,Machine Learning Engineer,Mid,Small,UK,Full-time,50,3.0,60310.0
466,Data Scientist,Senior,Small,USA,Contract,0,13.0,161830.0
467,Machine Learning Engineer,Entry,Small,Australia,Contract,0,1.0,26760.0
468,Data Engineer,Executive,Large,Canada,Contract,50,10.0,184896.0
469,Data Engineer,Mid,Medium,India,Full-time,50,14.0,129280.0
470,Data Scientist,Entry,Medium,Canada,Part-time,0,7.0,62105.0
471,Business Intelligence Analyst,Entry,Medium,Canada,Contract,100,11.0,83547.0
472,Business Intelligence Analyst,Senior,Large,Germany,Part-time,100,6.0,88269.0
473,Data Scientist,Mid,Small,Australia,Part-time,0,3.0,70457.0
474,Business Intelligence Analyst,Senior,Medium,Germany,Full-time,0,8.0,129543.0
475,Business Intelligence Analyst,Entry,Large,Canada,Full-time,50,14.0,83980.0
476,Data Engineer,Entry,Small,India,Part-time,50,8.0,61576.0
477,Business Intelligence Analyst,Mid,Medium,Canada,Contract,100,7.0,93109.0
478,Data Analyst,Mid,Small,Australia,Contract,0,13.0,108413.0
479,AI Engineer,Mid,Medium,Germany,Full-time,50,0.0,40494.0
480,Machine Learning Engineer,Executive,Medium,India,Full-time,100,6.0,150947.0
481,Data Analyst,Executive,Medium,Canada,Full-time,100,4.0,140022.0
482,Business Intelligence Analyst,Senior,Small,UK,Full-time,100,7.0,111128.0
483,Data Engineer,Senior,Large,Australia,Full-time,50,11.0,148986.0
484,Data Scientist,Mid,Small,Australia,Full-time,50,8.0,96161.0
485,Business Intelligence Analyst,Mid,Medium,UK,Full-time,0,1.0,61160.0
486,Data Engineer,Mid,Small,Canada,Contract,0,12.0,116941.0
487,AI Engineer,Senior,Large,Australia,Full-time,100,13.0,154808.0
488,Business Intelligence Analyst,Entry,Small,India,Full-time,100,10.0,66998.0
489,Data Scientist,Mid,Large,Canada,Contract,50,3.0,62182.0
490,Data Engineer,Entry,Large,Canada,Contract,50,3.0,43040.0
491,Data Engineer,Mid,Small,Germany,Part-time,0,1.0,53998.0
492,Data Engineer,Senior,Medium,Australia,Full-time,0,7.0,93312.0
493,AI Engineer,Senior,Large,Australia,Full-time,0,10.0,88269.0
494,Business Intelligence Analyst,Entry,Small,UK,Full-time,50,13.0,90802.0
495,AI Engineer,Executive,Large,Germany,Full-time,100,13.0,196167.0
496,Machine Learning Engineer,Mid,Medium,Germany,Part-time,0,12.0,102324.0
497,Machine Learning Engineer,Entry,Small,India,Contract,0,7.0,54639.0
498,Business Intelligence Analyst,Entry,Small,Canada,Contract,50,11.0,78338.0
499,AI Engineer,Entry,Small,Germany,Full-time,0,8.0,88269.0
500,Data Scientist,Entry,Medium,UK,Full-time,100,5.0,40984.0
501,Data Engineer,Executive,Large,Germany,Full-time,50,9.0,183895.0
502,Data Engineer,Mid,Small,UK,Part-time,0,1.0,60142.0
503,Business Intelligence Analyst,Senior,Large,Germany,Part-time,0,1.0,96063.0
504,Machine Learning Engineer,Mid,Large,India,Contract,50,6.0,70362.0
505,Machine Learning Engineer,Entry,Medium,Germany,Full-time,50,7.0,48454.0
506,Data Engineer,Mid,Small,Germany,Full-time,0,7.0,94182.0
507,Business Intelligence Analyst,Entry,Large,India,Full-time,100,13.0,78255.0
508,AI Engineer,Mid,Small,UK,Full-time,50,5.0,82601.0
509,Machine Learning Engineer,Senior,Small,UK,Part-time,100,9.0,142869.0
510,AI Engineer,Mid,Medium,UK,Contract,0,7.0,80349.0
511,Machine Learning Engineer,Mid,Small,USA,Contract,100,13.0,112195.0
512,Machine Learning Engineer,Entry,Small,Germany,Part-time,0,14.0,88269.0
513,Data Analyst,Entry,Large,UK,Full-time,0,0.0,17750.0
514,Machine Learning Engineer,Entry,Medium,Australia,Contract,0,8.0,59399.0
515,Data Scientist,Mid,Small,USA,Contract,0,12.0,113686.0
516,Business Intelligence Analyst,Entry,Large,India,Part-time,100,11.0,73035.0
517,Business Intelligence Analyst,Mid,Medium,UK,Full-time,0,0.0,41507.0
518,AI Engineer,Mid,Medium,UK,Contract,0,12.0,117387.0
519,Machine Learning Engineer,Mid,Large,USA,Full-time,100,2.0,64776.0
520,Data Scientist,Entry,Large,Germany,Contract,50,11.0,82309.0
521,AI Engineer,Entry,Large,Australia,Part-time,100,8.0,56583.0
522,Data Analyst,Senior,Large,India,Full-time,100,14.0,88269.0
523,AI Engineer,Mid,Large,UK,Part-time,100,10.0,107369.0
524,AI Engineer,Mid,Small,Germany,Contract,0,4.0,75797.0
525,Machine Learning Engineer,Entry,Small,Australia,Part-time,0,7.0,54231.0
526,Data Analyst,Executive,Medium,Australia,Part-time,0,8.0,165302.0
527,AI Engineer,Mid,Small,India,Part-time,50,5.0,70291.0
528,Data Scientist,Mid,Small,Canada,Contract,0,10.0,90908.0
529,Data Scientist,Senior,Small,Australia,Full-time,50,0.0,95123.0
530,Business Intelligence Analyst,Entry,Large,India,Part-time,0,9.0,67877.0
531,Data Analyst,Mid,Medium,Australia,Full-time,100,6.0,84239.0
532,Data Analyst,Mid,Medium,India,Contract,0,13.0,107586.0
533,Business Intelligence Analyst,Entry,Medium,USA,Full-time,50,5.0,44335.0
534,AI Engineer,Executive,Medium,India,Part-time,50,8.0,175640.0
535,Data Analyst,Senior,Small,India,Part-time,0,6.0,127715.0
536,Data Scientist,Mid,Small,USA,Part-time,100,13.0,115534.0
537,Data Scientist,Entry,Large,USA,Part-time,0,11.0,66806.0
538,Machine Learning Engineer,Entry,Medium,India,Part-time,0,10.0,70292.0
539,Data Analyst,Mid,Small,Australia,Part-time,0,11.0,112189.0
540,AI Engineer,Senior,Small,Germany,Contract,100,12.0,88269.0
541,Business Intelligence Analyst,Entry,Large,USA,Contract,50,3.0,41455.0
542,Business Intelligence Analyst,Mid,Large,Canada,Contract,100,6.0,70027.0
543,AI Engineer,Senior,Large,Canada,Full-time,50,1.0,93660.0
544,Data Engineer,Entry,Small,India,Full-time,50,5.0,42055.0
545,Machine Learning Engineer,Mid,Small,UK,Contract,50,14.0,88269.0
546,Business Intelligence Analyst,Entry,Large,India,Full-time,100,5.0,45440.0
547,Data Analyst,Executive,Medium,India,Full-time,0,7.0,128832.0
548,Machine Learning Engineer,Mid,Large,UK,Part-time,0,13.0,88269.0
549,Data Analyst,Entry,Large,Australia,Part-time,0,3.0,38107.0
550,Data Scientist,Mid,Large,USA,Full-time,0,7.0,88777.0
551,Machine Learning Engineer,Mid,Large,Canada,Full-time,0,7.0,90954.0
552,Business Intelligence Analyst,Senior,Small,India,Contract,100,12.0,156943.0
553,Machine Learning Engineer,Senior,Medium,UK,Full-time,100,7.0,122957.0
554,Machine Learning Engineer,Mid,Large,Germany,Part-time,100,7.0,87666.0
555,Machine Learning Engineer,Entry,Medium,India,Full-time,100,0.0,20110.0
556,Data Engineer,Entry,Medium,Canada,Contract,100,1.0,22344.0
557,Machine Learning Engineer,Entry,Medium,USA,Part-time,100,11.0,81462.0
558,Data Analyst,Mid,Large,India,Part-time,100,14.0,123696.0
559,Data Scientist,Senior,Small,India,Part-time,0,3.0,96031.0
560,AI Engineer,Mid,Large,Australia,Part-time,50,11.0,113456.0
561,Machine Learning Engineer,Entry,Medium,UK,Full-time,100,8.0,65090.0
562,Business Intelligence Analyst,Mid,Medium,Germany,Contract,50,2.0,65816.0
563,Machine Learning Engineer,Senior,Small,Germany,Full-time,100,13.0,162868.0
564,Business Intelligence Analyst,Senior,Large,USA,Full-time,100,5.0,115437.0
565,Data Analyst,Senior,Medium,Canada,Part-time,0,6.0,125453.0
566,Business Intelligence Analyst,Entry,Small,USA,Contract,50,7.0,59258.0
567,AI Engineer,Entry,Medium,India,Part-time,0,12.0,71550.0
568,Data Scientist,Senior,Small,India,Full-time,0,6.0,122977.0
569,Business Intelligence Analyst,Mid,Small,Germany,Full-time,50,2.0,54682.0
570,Business Intelligence Analyst,Mid,Large,Canada,Part-time,0,5.0,79439.0
571,Data Scientist,Senior,Medium,UK,Full-time,100,4.0,118213.0
572,AI Engineer,Senior,Large,Canada,Full-time,100,14.0,153751.0
573,Machine Learning Engineer,Mid,Medium,India,Part-time,100,12.0,112914.0
574,Business Intelligence Analyst,Mid,Large,UK,Full-time,100,11.0,105223.0
575,Data Scientist,Mid,Medium,Canada,Contract,100,9.0,100398.0
576,Data Analyst,Mid,Large,Canada,Part-time,0,3.0,61601.0
577,Data Scientist,Mid,Small,UK,Contract,0,0.0,43856.0
578,Data Analyst,Senior,Medium,India,Full-time,100,13.0,157661.0
579,AI Engineer,Senior,Medium,Canada,Full-time,100,12.0,155591.0
580,Machine Learning Engineer,Senior,Small,UK,Part-time,0,6.0,116182.0
581,Data Scientist,Entry,Large,Australia,Full-time,50,7.0,52970.0
582,Data Engineer,Senior,Medium,Australia,Part-time,0,1.0,100154.0
583,Business Intelligence Analyst,Senior,Medium,India,Part-time,0,6.0,112094.0
584,AI Engineer,Mid,Large,UK,Part-time,0,5.0,77095.0
585,Data Scientist,Senior,Small,Australia,Part-time,0,4.0,119416.0
586,Business Intelligence Analyst,Senior,Large,UK,Part-time,0,12.0,153672.0
587,Data Scientist,Mid,Large,Canada,Contract,50,3.0,72932.0
588,Data Analyst,Mid,Large,India,Part-time,100,1.0,59228.0
589,Data Scientist,Entry,Medium,Australia,Contract,100,9.0,63559.0
590,Data Engineer,Mid,Small,Canada,Full-time,50,5.0,65064.0
591,Data Scientist,Mid,Small,USA,Part-time,100,4.0,63299.0
592,Data Scientist,Senior,Large,USA,Full-time,100,1.0,89849.0
593,Data Engineer,Entry,Medium,India,Part-time,100,9.0,60639.0
594,AI Engineer,Entry,Large,Australia,Contract,50,6.0,58419.0
595,Data Scientist,Mid,Medium,Australia,Contract,50,5.0,88269.0
596,Data Engineer,Entry,Medium,Australia,Contract,100,11.0,83612.0
597,Business Intelligence Analyst,Entry,Medium,UK,Full-time,100,14.0,96980.0
598,Data Analyst,Entry,Medium,Canada,Part-time,100,14.0,99990.0
599,Data Analyst,Entry,Small,Australia,Full-time,0,10.0,70866.0
600,Data Scientist,Entry,Medium,Canada,Contract,0,8.0,53889.0
601,AI Engineer,Mid,Medium,India,Full-time,0,10.0,109890.0
602,AI Engineer,Mid,Large,India,Contract,50,9.0,100458.0
603,Business Intelligence Analyst,Senior,Large,India,Contract,100,4.0,117779.0
604,Data Scientist,Mid,Small,Australia,Contract,50,7.0,80452.0
605,Data Analyst,Senior,Large,USA,Part-time,50,8.0,130995.0
606,AI Engineer,Entry,Medium,Germany,Part-time,50,12.0,72631.0
607,Data Scientist,Entry,Large,India,Contract,100,0.0,12186.0
608,AI Engineer,Senior,Small,Australia,Full-time,0,4.0,88269.0
609,Data Engineer,Entry,Large,Germany,Full-time,100,8.0,54348.0
610,AI Engineer,Mid,Large,India,Part-time,100,6.0,71459.0
611,Data Analyst,Mid,Small,India,Contract,50,5.0,66942.0
612,Machine Learning Engineer,Mid,Small,Australia,Full-time,50,5.0,79896.0
613,Business Intelligence Analyst,Entry,Medium,UK,Contract,50,10.0,74407.0
614,Business Intelligence Analyst,Mid,Large,USA,Full-time,0,6.0,85622.0
615,Data Analyst,Mid,Medium,Australia,Part-time,0,0.0,54557.0
616,AI Engineer,Entry,Large,USA,Contract,0,3.0,41445.0
617,Data Scientist,Mid,Large,Germany,Contract,100,12.0,117878.0
618,AI Engineer,Senior,Medium,India,Full-time,50,14.0,167564.0
619,Data Analyst,Executive,Large,Canada,Full-time,100,0.0,133093.0
620,Business Intelligence Analyst,Entry,Large,USA,Full-time,0,5.0,37788.0
621,AI Engineer,Senior,Large,Canada,Contract,50,13.0,155400.0
622,Business Intelligence Analyst,Mid,Small,Canada,Part-time,0,12.0,116489.0
623,Data Scientist,Mid,Medium,India,Part-time,50,3.0,58925.0
624,Business Intelligence Analyst,Entry,Small,Germany,Full-time,50,0.0,28292.0
625,Business Intelligence Analyst,Senior,Medium,India,Part-time,100,8.0,138433.0
626,Machine Learning Engineer,Entry,Medium,Australia,Full-time,100,7.0,79568.0
627,Machine Learning Engineer,Mid,Large,USA,Part-time,0,3.0,67656.0
628,Data Engineer,Entry,Medium,Canada,Contract,100,7.0,74466.0
629,Machine Learning Engineer,Senior,Small,India,Full-time,100,5.0,108904.0
630,Business Intelligence Analyst,Senior,Small,India,Part-time,100,12.0,155467.0
631,Data Analyst,Senior,Small,India,Contract,50,6.0,120419.0
632,Business Intelligence Analyst,Entry,Medium,USA,Part-time,100,7.0,61676.0
633,Data Analyst,Entry,Small,Germany,Contract,0,11.0,75414.0
634,Data Analyst,Mid,Medium,India,Contract,50,12.0,112165.0
635,Machine Learning Engineer,Mid,Small,USA,Part-time,50,10.0,100683.0
636,AI Engineer,Entry,Small,Canada,Part-time,100,8.0,65442.0
637,Data Scientist,Mid,Medium,Australia,Contract,50,8.0,84860.0
638,Machine Learning Engineer,Executive,Small,UK,Contract,0,7.0,158729.0
639,Machine Learning Engineer,Senior,Large,USA,Contract,0,9.0,139400.0
640,AI Engineer,Senior,Medium,UK,Full-time,50,7.0,138619.0
641,Data Scientist,Executive,Medium,India,Contract,100,14.0,88269.0
642,Business Intelligence Analyst,Entry,Medium,India,Full-time,100,11.0,71110.0
643,Data Engineer,Mid,Large,USA,Contract,50,11.0,88269.0
644,Data Engineer,Executive,Medium,UK,Full-time,0,7.0,190106.0
645,Business Intelligence Analyst,Entry,Small,India,Contract,50,13.0,79754.0
646,Machine Learning Engineer,Senior,Small,Canada,Contract,100,2.0,101525.0
647,Data Scientist,Mid,Small,Germany,Contract,100,11.0,101408.0
648,Machine Learning Engineer,Mid,Medium,Germany,Part-time,50,1.0,52635.0
649,Data Analyst,Mid,Small,India,Part-time,0,7.0,61225.0
650,Machine Learning Engineer,Senior,Medium,UK,Contract,50,0.0,92196.0
651,Machine Learning Engineer,Senior,Small,Australia,Full-time,0,2.0,94250.0
652,Business Intelligence Analyst,Entry,Large,India,Full-time,0,0.0,25372.0
653,Business Intelligence Analyst,Senior,Large,Australia,Contract,50,12.0,157279.0
654,Business Intelligence Analyst,Entry,Large,Australia,Part-time,50,2.0,32097.0
655,Data Engineer,Mid,Large,UK,Full-time,0,12.0,118004.0
656,Data Analyst,Mid,Medium,Australia,Part-time,0,3.0,67055.0
657,Business Intelligence Analyst,Mid,Small,Canada,Full-time,0,6.0,75419.0
658,Data Scientist,Mid,Large,India,Contract,0,11.0,112769.0
659,Data Engineer,Senior,Medium,India,Part-time,100,14.0,165713.0
660,AI Engineer,Senior,Large,Canada,Full-time,50,7.0,146784.0
661,Data Scientist,Mid,Large,USA,Contract,0,4.0,62433.0
662,Data Scientist,Entry,Medium,Germany,Contract,50,4.0,40998.0
663,Business Intelligence Analyst,Senior,Medium,India,Contract,0,12.0,151575.0
664,AI Engineer,Senior,Small,India,Part-time,50,0.0,81301.0
665,AI Engineer,Senior,Small,India,Part-time,50,7.0,121858.0
666,Data Engineer,Entry,Large,Canada,Contract,0,12.0,78950.0
667,AI Engineer,Entry,Large,USA,Part-time,0,3.0,33938.0
668,Data Analyst,Entry,Small,UK,Full-time,50,9.0,60644.0
669,Business Intelligence Analyst,Entry,Small,USA,Contract,50,4.0,41078.0
670,AI Engineer,Mid,Medium,Canada,Contract,50,1.0,54260.0
671,Data Engineer,Senior,Small,India,Part-time,100,14.0,164690.0
672,Data Analyst,Mid,Small,Germany,Contract,0,11.0,98307.0
673,Machine Learning Engineer,Entry,Large,India,Full-time,100,12.0,86488.0
674,Machine Learning Engineer,Entry,Small,UK,Part-time,100,0.0,10395.0
675,Data Analyst,Entry,Large,Australia,Part-time,0,8.0,69901.0
676,Data Engineer,Entry,Small,Germany,Contract,0,14.0,90845.0
677,Data Analyst,Entry,Medium,India,Contract,100,1.0,18291.0
678,Business Intelligence Analyst,Entry,Small,Germany,Contract,0,5.0,53394.0
679,Business Intelligence Analyst,Senior,Small,Australia,Part-time,50,0.0,93138.0
680,Machine Learning Engineer,Executive,Small,USA,Contract,50,0.0,124537.0
681,AI Engineer,Mid,Large,India,Full-time,100,8.0,89860.0
682,Data Engineer,Mid,Medium,India,Contract,100,3.0,72435.0
683,Machine Learning Engineer,Senior,Small,UK,Contract,0,8.0,139225.0
684,AI Engineer,Entry,Large,USA,Part-time,0,10.0,66618.0
685,AI Engineer,Entry,Medium,India,Contract,100,4.0,34723.0
686,Business Intelligence Analyst,Senior,Large,USA,Part-time,100,6.0,129968.0
687,Data Scientist,Entry,Large,UK,Contract,50,0.0,24837.0
688,Data Scientist,Mid,Medium,India,Full-time,50,5.0,73539.0
689,Data Analyst,Mid,Small,Australia,Full-time,0,7.0,76263.0
690,Business Intelligence Analyst,Mid,Large,Australia,Part-time,50,13.0,118305.0
691,AI Engineer,Mid,Large,UK,Part-time,0,0.0,50934.0
692,Data Engineer,Senior,Small,Germany,Contract,0,7.0,130265.0
693,Data Scientist,Entry,Small,UK,Contract,0,2.0,36339.0
694,AI Engineer,Entry,Medium,Germany,Full-time,50,0.0,11351.0
695,Data Scientist,Senior,Medium,India,Contract,100,0.0,87190.0
696,Data Scientist,Mid,Medium,Germany,Full-time,100,12.0,119030.0
697,Data Scientist,Entry,Small,India,Part-time,50,13.0,91650.0
698,Data Engineer,Senior,Large,India,Contract,100,10.0,140885.0
699,Business Intelligence Analyst,Mid,Large,Canada,Part-time,0,5.0,72434.0
700,Data Engineer,Senior,Medium,India,Contract,100,10.0,131022.0
701,Machine Learning Engineer,Senior,Small,Germany,Full-time,50,5.0,107037.0
702,AI Engineer,Mid,Large,Canada,Part-time,100,0.0,48756.0
703,Business Intelligence Analyst,Mid,Medium,Canada,Part-time,0,7.0,118558.0
704,Business Intelligence Analyst,Executive,Large,India,Contract,0,13.0,202443.0
705,Business Intelligence Analyst,Entry,Large,UK,Part-time,50,2.0,21424.0
706,Business Intelligence Analyst,Senior,Small,India,Full-time,50,6.0,114123.0
707,Data Engineer,Entry,Small,India,Part-time,50,9.0,71603.0
708,Business Intelligence Analyst,Mid,Large,Canada,Part-time,0,2.0,50405.0
709,Data Analyst,Mid,Medium,India,Contract,100,2.0,59829.0
710,AI Engineer,Senior,Small,UK,Part-time,100,2.0,108702.0
711,Business Intelligence Analyst,Executive,Large,India,Contract,50,11.0,184951.0
712,AI Engineer,Entry,Small,India,Contract,100,6.0,48983.0
713,Data Analyst,Entry,Small,Canada,Part-time,100,3.0,42693.0
714,Data Analyst,Senior,Small,India,Full-time,50,7.0,107025.0
715,AI Engineer,Mid,Large,Canada,Contract,50,2.0,54929.0
716,Data Scientist,Entry,Medium,USA,Part-time,0,9.0,64522.0
717,Machine Learning Engineer,Mid,Medium,UK,Contract,0,10.0,102638.0
718,Data Scientist,Mid,Medium,UK,Full-time,0,8.0,88702.0
719,Data Scientist,Executive,Small,UK,Full-time,0,1.0,135764.0
720,Data Engineer,Entry,Large,Germany,Contract,100,3.0,37121.0
721,Data Scientist,Mid,Small,India,Full-time,100,7.0,89219.0
722,Business Intelligence Analyst,Mid,Medium,India,Part-time,0,5.0,66617.0
723,Data Engineer,Senior,Medium,UK,Part-time,0,13.0,155248.0
724,Data Engineer,Mid,Large,USA,Contract,50,6.0,87904.0
725,Data Analyst,Mid,Small,UK,Full-time,100,12.0,101583.0
726,Data Scientist,Entry,Medium,Australia,Part-time,100,6.0,46704.0
727,Data Analyst,Senior,Large,India,Part-time,0,1.0,92988.0
728,AI Engineer,Mid,Small,India,Part-time,100,3.0,72959.0
729,Machine Learning Engineer,Entry,Small,Canada,Contract,50,9.0,64953.0
730,Data Engineer,Mid,Medium,Germany,Contract,50,9.0,87613.0
731,AI Engineer,Entry,Medium,Canada,Part-time,100,5.0,38892.0
732,AI Engineer,Entry,Small,UK,Part-time,0,2.0,32336.0
733,Business Intelligence Analyst,Senior,Small,Australia,Full-time,100,8.0,126733.0
734,Machine Learning Engineer,Mid,Medium,USA,Full-time,50,12.0,104431.0
735,AI Engineer,Senior,Small,Canada,Full-time,0,3.0,112765.0
736,AI Engineer,Entry,Medium,Germany,Contract,100,9.0,58515.0
737,Machine Learning Engineer,Senior,Small,Canada,Part-time,0,12.0,144454.0
738,Machine Learning Engineer,Entry,Medium,India,Contract,0,1.0,22769.0
739,AI Engineer,Mid,Large,UK,Part-time,50,5.0,73384.0
740,Machine Learning Engineer,Executive,Medium,UK,Full-time,0,0.0,133727.0
741,AI Engineer,Senior,Medium,UK,Full-time,100,7.0,108534.0
742,AI Engineer,Mid,Large,UK,Full-time,0,12.0,100755.0
743,Business Intelligence Analyst,Mid,Small,UK,Full-time,0,11.0,113909.0
744,Data Scientist,Senior,Large,UK,Part-time,100,9.0,142211.0
745,AI Engineer,Mid,Medium,USA,Full-time,50,0.0,58717.0
746,Data Analyst,Senior,Small,Germany,Part-time,50,13.0,153302.0
747,Data Engineer,Senior,Large,UK,Part-time,100,7.0,127907.0
748,Data Scientist,Entry,Small,Germany,Contract,100,4.0,38984.0
749,Data Scientist,Entry,Small,Australia,Full-time,50,5.0,49385.0
750,Data Scientist,Mid,Large,UK,Full-time,0,1.0,52181.0
751,Business Intelligence Analyst,Entry,Small,Canada,Contract,100,1.0,28445.0
752,AI Engineer,Entry,Large,UK,Part-time,0,11.0,77875.0
753,Business Intelligence Analyst,Senior,Medium,India,Full-time,100,8.0,123414.0
754,AI Engineer,Mid,Small,USA,Part-time,50,2.0,65005.0
755,Business Intelligence Analyst,Senior,Medium,Canada,Contract,0,5.0,114501.0
756,Business Intelligence Analyst,Mid,Medium,Canada,Part-time,0,9.0,99245.0
757,Data Engineer,Mid,Small,India,Full-time,100,4.0,66457.0
758,Data Analyst,Entry,Large,UK,Part-time,0,13.0,81749.0
759,Business Intelligence Analyst,Mid,Small,USA,Part-time,100,11.0,95296.0
